,name,user_name,date,content
54,Kevin R Burgio PhD,@KRBurgio,2020-09-30T19:11:49.000Z,"It's good for the rest of us to know fraud, harassment, Islamophobia, transphobia, racism, homophobia, and misogyny are met with a tepid non-apology from your department head.This is a Masterclass on the opposite of how to handle a predator working in your department."
55,Lisaisback2,@Lisaisback21,2020-09-30T22:23:44.000Z,Question to my Moat friends-Who are these “Proud Boys” or “ Something Boys” that Trump mentioned that’s making the Left go nuts???
56,Velumon,@lavo323,2020-09-30T22:25:10.000Z,"The proud boys is an organization of libertarian and conservatives focused on preserving the founding fathers principles. Yeah, nothing racist about it. In fact, his head is actually a black man."
57,Taylor Young,@TaylorYoungNews,2020-09-30T19:57:53.000Z,Shout out to all journalists who within the last 6 months have had to immense themselves in education regarding a (1) global pandemic (2) history of racism in the US (3) an unprecedented political climate... all while trying to keep their heads above water mentally and physically
58,Melissa Krzyzanowski,@MrsKrzyz,2020-09-30T19:29:41.000Z,"Lots of deep discussion today. Started with the US debate, which led into Covid, systemic racism, and residential schools. It's hard to watch students walk away feeling defeated when then learn of atrocities, but it's amazing to see what they do once they have the knowledge."
59,Kassie DeFala,@Kassieexx3,2020-09-30T23:59:11.000Z,I love how you have the platform to give a third party candidate like jo Jorgensen a chance but instead you’re giving away nudes to keep us trapped in the two party system that has hosted systemic racism for years. Sad.
60,Brie,@peakednhiskool,2020-09-30T19:30:44.000Z,People like to bring up that “Black people don’t have a stable household with a father and a mother.” I’m stating why the black nuclear family is broken. White privilege is a real thing. It isn’t something white people should deny. White people should be trying to make sure the
61,Brie,@peakednhiskool,2020-09-30T19:30:55.000Z,"privileges that they have expands to minorities in the US. And it starts by actually looking at history with open eyes. Jim Crow laws only officially ended in 1964, but some Jim Crows laws were still in affect till 1968. The effects of centuries of discrimination and racism don’t"
62,TulsaTeresa,@TulsaTeresa,2020-09-30T19:48:00.000Z,"I keep hoping that the election of President Biden will return us to a sense of normalcy, but I will be unable to forget that Trump adherents are racist and that makes me incredibly sad."
63,░𝙽𝚞𝚖𝚋𝚎𝚛 𝚜𝚝𝚊𝚝𝚒𝚘𝚗 𝟷𝟹𝟷𝟸,@nostation206,2020-09-30T19:10:00.000Z,Racism is at the core of so many of our problems that it is actively assisting in the destruction of our planet by acting as a barrier and working backwards against societal progression. Racism holds all of us back - even the ones who currently benefit from it.
64,Seiji - ,@StrangeDogg,2020-09-30T22:26:29.000Z,"Racism is well and alive in Canada as well, it's not just the US. People forget that this country is not a utopia."
